Z_PK,Z_ENT,Z_OPT,ZDELETEDSTATE,ZDIRECTION,ZORDERINGID,ZREAD,ZCONVERSATION,Z10_CONVERSATION,ZSTATUS,ZMESSAGEID,ZSTATUS1,ZIMAGETYPE,ZTYPE,ZLOCALTIMESTAMP,ZLENGTH,ZREMOTETIMESTAMP,ZTHUMBNAILHEIGHT,ZTHUMBNAILWIDTH,ZDURATION,ZCALLID,ZAUTHORNAME,ZCONTENT,ZTHUMBNAILURL,ZUID,ZSTRING,ZSIGNATURE,ZDATA
79,16,2,0,1,63,2,,,,63.0,2.0,0.0,,608730672.798301,,607708542.7019999,,,,,890375101##3,/var/mobile/Containers/Data/Application/2C0EA118-A71B-4CFD-AF2E-7FE132AC59DF/Library/Caches/Leanplum_Resources/https:/assets.prod.leanplum.com/app_qykfIPvqZYbXnzgcRUuCvMxD5g3jHE9MkDCRDBypWAw/QXBwX0luYm94X01lc3NhZ2UgKDIpLmpwZw==,,,,,
80,16,2,0,1,65,2,,,,65.0,2.0,0.0,,608730672.810217,,608498997.825,,,,,890375101##4,/var/mobile/Containers/Data/Application/2C0EA118-A71B-4CFD-AF2E-7FE132AC59DF/Library/Caches/Leanplum_Resources/https:/assets.prod.leanplum.com/app_qykfIPvqZYbXnzgcRUuCvMxD5g3jHE9MkDCRDBypWAw/QXBwX0luYm94X01lc3NhZ2UgKDIpLmpwZw==,,,,,
81,21,2,0,1,60,2,,,,60.0,2.0,,,608730672.797712,,606877846.6040001,,,,,890375101##0,"📣NEW! Free Nationwide Talk & Text 
This Is, drop the Wi Fi and start connecting nationwide. For free  ",,,,,
82,21,2,0,1,61,2,,,,61.0,2.0,,,608730672.798051,,606926673.55,,,,,6221787599601664##1,"Staying Safe: How to Avoid Scammers

This Is, here at TextNow, we strive to be a company you can count on. 

So we will be providing you with some tips and tricks to help you Stay Connected, Stay Healthy, and Stay Safe.  

Today's tip:📱Mobile Safety  
Learn how (by tapping here) to spot and avoid scammers trying to trick you out of your personal information.  

Stay connected, stay safe. 
💜Adriena from TextNow ",,,,,
83,21,2,0,1,62,2,,,,62.0,2.0,,,608730672.798233,,607477788.4790001,,,,,5842923916492800##2,"This Is, how dirty is your phone? 😳

So, you’re washing your hands all the time… but what about your phone?

Tap here to learn how you can clean your phone at home with a few simple steps. 

Stay connected, stay safe. 
💜Adriena from TextNow ",,,,,
84,21,2,0,1,66,2,,,,66.0,2.0,,,608730672.827086,,608498997.825,,,,,890375101##4,"📣NEW! Free Nationwide Talk & Text 
This Is, drop the Wi Fi and start connecting nationwide. For free  ",,,,,
85,21,2,0,1,64,2,,,,64.0,2.0,,,608730672.810134,,607708542.7019999,,,,,890375101##3,"📣NEW! Free Nationwide Talk & Text 
This Is, drop the Wi Fi and start connecting nationwide. For free  ",,,,,
86,16,2,0,1,67,2,,,,67.0,2.0,0.0,,608730673.692623,,606877846.6040001,,,,,890375101##0,/var/mobile/Containers/Data/Application/2C0EA118-A71B-4CFD-AF2E-7FE132AC59DF/Library/Caches/Leanplum_Resources/https:/assets.prod.leanplum.com/app_qykfIPvqZYbXnzgcRUuCvMxD5g3jHE9MkDCRDBypWAw/QXBwX0luYm94X01lc3NhZ2UgKDIpLmpwZw==,,,,,
87,16,2,0,1,71,2,,,,71.0,2.0,0.0,,608730673.710633,,607708542.7019999,,,,,890375101##3,/var/mobile/Containers/Data/Application/2C0EA118-A71B-4CFD-AF2E-7FE132AC59DF/Library/Caches/Leanplum_Resources/https:/assets.prod.leanplum.com/app_qykfIPvqZYbXnzgcRUuCvMxD5g3jHE9MkDCRDBypWAw/QXBwX0luYm94X01lc3NhZ2UgKDIpLmpwZw==,,,,,
88,16,2,0,1,73,2,,,,73.0,2.0,0.0,,608730673.721137,,608498997.825,,,,,890375101##4,/var/mobile/Containers/Data/Application/2C0EA118-A71B-4CFD-AF2E-7FE132AC59DF/Library/Caches/Leanplum_Resources/https:/assets.prod.leanplum.com/app_qykfIPvqZYbXnzgcRUuCvMxD5g3jHE9MkDCRDBypWAw/QXBwX0luYm94X01lc3NhZ2UgKDIpLmpwZw==,,,,,
89,21,2,0,1,72,2,,,,72.0,2.0,,,608730673.721079,,607708542.7019999,,,,,890375101##3,"📣NEW! Free Nationwide Talk & Text 
This Is, drop the Wi Fi and start connecting nationwide. For free  ",,,,,
90,21,2,0,1,74,2,,,,74.0,2.0,,,608730673.730412,,608498997.825,,,,,890375101##4,"📣NEW! Free Nationwide Talk & Text 
This Is, drop the Wi Fi and start connecting nationwide. For free  ",,,,,
91,21,2,0,1,68,2,,,,68.0,2.0,,,608730673.708841,,606877846.6040001,,,,,890375101##0,"📣NEW! Free Nationwide Talk & Text 
This Is, drop the Wi Fi and start connecting nationwide. For free  ",,,,,
92,21,2,0,1,70,2,,,,70.0,2.0,,,608730673.710573,,607477788.4790001,,,,,5842923916492800##2,"This Is, how dirty is your phone? 😳

So, you’re washing your hands all the time… but what about your phone?

Tap here to learn how you can clean your phone at home with a few simple steps. 

Stay connected, stay safe. 
💜Adriena from TextNow ",,,,,
93,21,2,0,1,69,2,,,,69.0,2.0,,,608730673.709206,,606926673.55,,,,,6221787599601664##1,"Staying Safe: How to Avoid Scammers

This Is, here at TextNow, we strive to be a company you can count on. 

So we will be providing you with some tips and tricks to help you Stay Connected, Stay Healthy, and Stay Safe.  

Today's tip:📱Mobile Safety  
Learn how (by tapping here) to spot and avoid scammers trying to trick you out of your personal information.  

Stay connected, stay safe. 
💜Adriena from TextNow ",,,,,
94,16,2,0,1,75,2,,,,75.0,2.0,0.0,,608730674.787448,,606877846.6040001,,,,,890375101##0,/var/mobile/Containers/Data/Application/2C0EA118-A71B-4CFD-AF2E-7FE132AC59DF/Library/Caches/Leanplum_Resources/https:/assets.prod.leanplum.com/app_qykfIPvqZYbXnzgcRUuCvMxD5g3jHE9MkDCRDBypWAw/QXBwX0luYm94X01lc3NhZ2UgKDIpLmpwZw==,,,,,
95,16,2,0,1,79,2,,,,79.0,2.0,0.0,,608730675.240931,,607708542.7019999,,,,,890375101##3,/var/mobile/Containers/Data/Application/2C0EA118-A71B-4CFD-AF2E-7FE132AC59DF/Library/Caches/Leanplum_Resources/https:/assets.prod.leanplum.com/app_qykfIPvqZYbXnzgcRUuCvMxD5g3jHE9MkDCRDBypWAw/QXBwX0luYm94X01lc3NhZ2UgKDIpLmpwZw==,,,,,
96,16,2,0,1,81,2,,,,81.0,2.0,0.0,,608730675.878483,,608498997.825,,,,,890375101##4,/var/mobile/Containers/Data/Application/2C0EA118-A71B-4CFD-AF2E-7FE132AC59DF/Library/Caches/Leanplum_Resources/https:/assets.prod.leanplum.com/app_qykfIPvqZYbXnzgcRUuCvMxD5g3jHE9MkDCRDBypWAw/QXBwX0luYm94X01lc3NhZ2UgKDIpLmpwZw==,,,,,
97,21,2,0,1,80,2,,,,80.0,2.0,,,608730675.878428,,607708542.7019999,,,,,890375101##3,"📣NEW! Free Nationwide Talk & Text 
This Is, drop the Wi Fi and start connecting nationwide. For free  ",,,,,
98,21,2,0,1,78,2,,,,78.0,2.0,,,608730675.240885,,607477788.4790001,,,,,5842923916492800##2,"This Is, how dirty is your phone? 😳

So, you’re washing your hands all the time… but what about your phone?

Tap here to learn how you can clean your phone at home with a few simple steps. 

Stay connected, stay safe. 
💜Adriena from TextNow ",,,,,
99,21,2,0,1,77,2,,,,77.0,2.0,,,608730675.240706,,606926673.55,,,,,6221787599601664##1,"Staying Safe: How to Avoid Scammers

This Is, here at TextNow, we strive to be a company you can count on. 

So we will be providing you with some tips and tricks to help you Stay Connected, Stay Healthy, and Stay Safe.  

Today's tip:📱Mobile Safety  
Learn how (by tapping here) to spot and avoid scammers trying to trick you out of your personal information.  

Stay connected, stay safe. 
💜Adriena from TextNow ",,,,,
100,21,2,0,1,82,2,,,,82.0,2.0,,,608730676.358407,,608498997.825,,,,,890375101##4,"📣NEW! Free Nationwide Talk & Text 
This Is, drop the Wi Fi and start connecting nationwide. For free  ",,,,,
101,21,2,0,1,76,2,,,,76.0,2.0,,,608730675.240439,,606877846.6040001,,,,,890375101##0,"📣NEW! Free Nationwide Talk & Text 
This Is, drop the Wi Fi and start connecting nationwide. For free  ",,,,,
102,16,1,0,1,83,2,3.0,12.0,,83.0,2.0,0.0,,608730748.902869,,606877846.6040001,,,,,890375101##0,/var/mobile/Containers/Data/Application/2C0EA118-A71B-4CFD-AF2E-7FE132AC59DF/Library/Caches/Leanplum_Resources/https:/assets.prod.leanplum.com/app_qykfIPvqZYbXnzgcRUuCvMxD5g3jHE9MkDCRDBypWAw/QXBwX0luYm94X01lc3NhZ2UgKDIpLmpwZw==,,,,,
103,16,1,0,1,87,2,3.0,12.0,,87.0,2.0,0.0,,608730748.920021,,607708542.7019999,,,,,890375101##3,/var/mobile/Containers/Data/Application/2C0EA118-A71B-4CFD-AF2E-7FE132AC59DF/Library/Caches/Leanplum_Resources/https:/assets.prod.leanplum.com/app_qykfIPvqZYbXnzgcRUuCvMxD5g3jHE9MkDCRDBypWAw/QXBwX0luYm94X01lc3NhZ2UgKDIpLmpwZw==,,,,,
104,16,1,0,1,89,2,3.0,12.0,,89.0,2.0,0.0,,608730748.941348,,608498997.825,,,,,890375101##4,/var/mobile/Containers/Data/Application/2C0EA118-A71B-4CFD-AF2E-7FE132AC59DF/Library/Caches/Leanplum_Resources/https:/assets.prod.leanplum.com/app_qykfIPvqZYbXnzgcRUuCvMxD5g3jHE9MkDCRDBypWAw/QXBwX0luYm94X01lc3NhZ2UgKDIpLmpwZw==,,,,,
105,21,1,0,1,86,2,3.0,12.0,,86.0,2.0,,,608730748.919963,,607477788.4790001,,,,,5842923916492800##2,"This Is, how dirty is your phone? 😳

So, you’re washing your hands all the time… but what about your phone?

Tap here to learn how you can clean your phone at home with a few simple steps. 

Stay connected, stay safe. 
💜Adriena from TextNow ",,,,,
106,21,1,0,1,85,2,3.0,12.0,,85.0,2.0,,,608730748.919693,,606926673.55,,,,,6221787599601664##1,"Staying Safe: How to Avoid Scammers

This Is, here at TextNow, we strive to be a company you can count on. 

So we will be providing you with some tips and tricks to help you Stay Connected, Stay Healthy, and Stay Safe.  

Today's tip:📱Mobile Safety  
Learn how (by tapping here) to spot and avoid scammers trying to trick you out of your personal information.  

Stay connected, stay safe. 
💜Adriena from TextNow ",,,,,
107,21,1,0,1,90,2,3.0,12.0,,90.0,2.0,,,608730748.951007,,608498997.825,,,,,890375101##4,"📣NEW! Free Nationwide Talk & Text 
This Is, drop the Wi Fi and start connecting nationwide. For free  ",,,,,
108,21,1,0,1,88,2,3.0,12.0,,88.0,2.0,,,608730748.941283,,607708542.7019999,,,,,890375101##3,"📣NEW! Free Nationwide Talk & Text 
This Is, drop the Wi Fi and start connecting nationwide. For free  ",,,,,
109,21,1,0,1,84,2,3.0,12.0,,84.0,2.0,,,608730748.919233,,606877846.6040001,,,,,890375101##0,"📣NEW! Free Nationwide Talk & Text 
This Is, drop the Wi Fi and start connecting nationwide. For free  ",,,,,
